season,week,player,player_id,team,opponent,stat,line,market_over_prob,model_over_prob,edge,actual_value,actual_over,model_correct,market_correct,model_beat_market
2026,1,Baker Mayfield,00-0034855,TB,CIN,pass_yards,248.5,0.5,0.434206234416888,-0.06579376558311201,,,,,
2026,1,Ja'Marr Chase,00-0036900,CIN,TB,rec_yards,89.5,0.5,0.48204430807600385,-0.017955691923996153,,,,,
2026,1,Tee Higgins,00-0036410,CIN,TB,rec_yards,60.5,0.5,0.4487545769739506,-0.0512454230260494,,,,,
2026,1,Emeka Egbuka,00-0040129,TB,CIN,rec_yards,59.5,0.5,0.48214442932980606,-0.017855570670193943,,,,,
2026,1,Chase Brown,00-0038597,CIN,TB,rush_yards,56.5,0.5,0.5212779370716678,0.021277937071667807,,,,,
2026,1,Baker Mayfield,00-0034855,TB,CIN,rush_yards,16.5,0.5,0.6880438495120192,0.18804384951201925,,,,,
2026,1,Joe Burrow,00-0036442,CIN,TB,rush_yards,5.5,0.5,0.5149994386790857,0.014999438679085708,,,,,
2026,1,Jared Goff,00-0033106,DET,NO,pass_yards,271.5,0.5,0.3044317184695209,-0.19556828153047912,,,,,
2026,1,Tyler Shough,00-0040743,NO,DET,pass_yards,249.5,0.5,0.3829697339350445,-0.11703026606495548,,,,,
2026,1,Amon-Ra St. Brown,00-0036963,DET,NO,rec_yards,78.5,0.5,0.5321969367021515,0.03219693670215151,,,,,
2026,1,Chris Olave,00-0037239,NO,DET,rec_yards,69.5,0.5,0.6109614485967236,0.11096144859672363,,,,,
2026,1,Jameson Williams,00-0037240,DET,NO,rec_yards,65.5,0.5,0.4848839889922164,-0.015116011007783592,,,,,
2026,1,Sam LaPorta,00-0039065,DET,NO,rec_yards,47.5,0.5,0.5565977900881824,0.05659779008818244,,,,,
2026,1,Jahmyr Gibbs,00-0039139,DET,NO,rec_yards,32.5,0.5,0.5161377745753651,0.016137774575365138,,,,,
2026,1,Jahmyr Gibbs,00-0039139,DET,NO,rush_yards,76.5,0.5,0.3895377694896396,-0.11046223051036042,,,,,
2026,1,Tyler Shough,00-0040743,NO,DET,rush_yards,17.5,0.5,0.5285979992503449,0.028597999250344897,,,,,
2026,1,C.J. Stroud,00-0039163,HOU,BUF,pass_yards,228.5,0.5,0.22700162150983383,-0.27299837849016617,,,,,
2026,1,Josh Allen,00-0034857,BUF,HOU,pass_yards,223.5,0.5,0.42016328987580376,-0.07983671012419624,,,,,
2026,1,Nico Collins,00-0036554,HOU,BUF,rec_yards,70.5,0.5,0.4653401886875098,-0.034659811312490185,,,,,
2026,1,James Cook,00-0037248,BUF,HOU,rec_yards,15.5,0.5,0.5406492338064496,0.04064923380644958,,,,,
2026,1,James Cook,00-0037248,BUF,HOU,rush_yards,76.5,0.5,0.577930852938205,0.07793085293820501,,,,,
2026,1,Josh Allen,00-0034857,BUF,HOU,rush_yards,32.5,0.5,0.5231757544576016,0.02317575445760156,,,,,
2026,1,C.J. Stroud,00-0039163,HOU,BUF,rush_yards,7.5,0.5,0.5995349216402627,0.09953492164026267,,,,,
2026,1,Lamar Jackson,00-0034796,BAL,IND,pass_yards,219.5,0.5,0.5436832387371784,0.04368323873717839,,,,,
2026,1,Zay Flowers,00-0039064,BAL,IND,rec_yards,66.5,0.5,0.551072191700791,0.051072191700791025,,,,,
2026,1,Alec Pierce,00-0037664,IND,BAL,rec_yards,56.5,0.5,0.04343716650676932,-0.4565628334932307,,,,,
2026,1,Tyler Warren,00-0040128,IND,BAL,rec_yards,47.5,0.5,0.4726328267538529,-0.027367173246147125,,,,,
2026,1,Jonathan Taylor,00-0036223,IND,BAL,rec_yards,13.5,0.5,0.6321449886907399,0.13214498869073987,,,,,
2026,1,Derrick Henry,00-0032764,BAL,IND,rec_yards,4.5,0.5,0.5606044526462015,0.06060445264620151,,,,,
2026,1,Derrick Henry,00-0032764,BAL,IND,rush_yards,86.5,0.5,0.45946110585474365,-0.040538894145256354,,,,,
2026,1,Jonathan Taylor,00-0036223,IND,BAL,rush_yards,74.5,0.5,0.6767246868372467,0.17672468683724674,,,,,
2026,1,Lamar Jackson,00-0034796,BAL,IND,rush_yards,31.5,0.5,0.4197484687573739,-0.08025153124262607,,,,,
2026,1,Zay Flowers,00-0039064,BAL,IND,rush_yards,0.5,0.5,0.5719931138120125,0.07199311381201245,,,,,
2026,1,Trevor Lawrence,00-0036971,JAX,CLE,pass_yards,234.5,0.5,0.30487831313790026,-0.19512168686209974,,,,,
2026,1,Brian Thomas Jr,00-0039893,JAX,CLE,rec_yards,48.5,0.5,0.4812300056686636,-0.018769994331336415,,,,,
2026,1,Harold Fannin Jr.,00-0040663,CLE,JAX,rec_yards,45.5,0.5,0.4746217190308706,-0.02537828096912942,,,,,
2026,1,Quinshon Judkins,00-0040784,CLE,JAX,rec_yards,9.5,0.5,0.5410557212952499,0.041055721295249925,,,,,
2026,1,Quinshon Judkins,00-0040784,CLE,JAX,rush_yards,63.5,0.5,0.38332725181972716,-0.11667274818027284,,,,,
2026,1,Trevor Lawrence,00-0036971,JAX,CLE,rush_yards,19.5,0.5,0.525053172293136,0.025053172293135972,,,,,
2026,1,Aaron Rodgers,00-0023459,PIT,ATL,pass_yards,216.5,0.5,0.41472866944901965,-0.08527133055098035,,,,,
